Lat,Lon
32.72,-114.72
32.75,-114.68
32.73,-114.53
32.75,-114.52
32.8,-114.53
32.87,-114.45
32.93,-114.47
32.97,-114.47
33.02,-114.52
33.03,-114.67
33.08,-114.7
33.22,-114.67
33.23,-114.68
33.27,-114.68
33.3,-114.73
33.37,-114.7
33.4,-114.73
33.42,-114.63
33.52,-114.58
33.57,-114.53
33.6,-114.53
33.63,-114.52
33.68,-114.52
33.72,-114.48
33.82,-114.52
33.87,-114.52
33.9,-114.48
33.95,-114.52
34.03,-114.42
34.12,-114.38
34.18,-114.23
34.28,-114.12
34.35,-114.17
34.47,-114.33
34.47,-114.37
34.53,-114.37
34.58,-114.42
34.63,-114.42
34.7,-114.45
34.75,-114.5
34.8,-114.57
34.83,-114.57
34.88,-114.62
34.98,-114.62
35.05,-114.63
35.08,-114.6
35.12,-114.63
35.13,-114.62
35.15,-114.58
35.22,-114.57
35.33,-114.58
35.5,-114.67
35.62,-114.65
35.72,-114.68
35.82,-114.68
35.88,-114.67
35.9,-114.7
35.98,-114.73
36.03,-114.72
36.08,-114.73
36.12,-114.68
36.17,-114.55
36.13,-114.45
36.15,-114.35
36.12,-114.32
36.07,-114.3
36.02,-114.22
36.03,-114.13
36.08,-114.12
36.13,-114.1
36.2,-114.03
37,-114.05
37.02,-114.03
37,-111.48
37,-109.05
31.33,-109.05
31.33,-111.05
32.5,-114.82
32.55,-114.78
32.62,-114.8
32.65,-114.75
32.72,-114.72
32.72,-114.72
32.72,-114.72
