Lat,Lon
37.02,-114.03
37.02,-114.03
36.2,-114.03
36.13,-114.1
36.08,-114.12
36.03,-114.13
36.02,-114.22
36.07,-114.3
36.12,-114.32
36.15,-114.35
36.13,-114.45
36.17,-114.55
36.12,-114.68
36.08,-114.73
36.03,-114.72
35.98,-114.73
35.9,-114.7
35.88,-114.67
35.82,-114.68
35.72,-114.68
35.62,-114.65
35.5,-114.67
35.33,-114.58
35.22,-114.57
35.15,-114.58
35.13,-114.62
35.12,-114.63
35.08,-114.6
35.05,-114.63
35,-114.62
34.98,-114.62
39,-120
42,-120
42,-118.5
42,-117.02
42,-115.48
42,-114.03
37.02,-114.03
37.02,-114.03
